id,zoho_name,cmrr_name,install_name,domain
1,100Percent Nourishment Private Limited,100Percent Nourishment Private Limited,Wicked Gud,wickedgud
2,360 Degree Supply Chain Management Private Limited,360 Degree Supply Chain Management Private Limited,360 DEGREE SUPPLY CHAIN MANAGEMENT PRIVATE LIMITED,thegotomarketcompany
3,A. N. R. Lighting Private Limited,A. N. R. Lighting Private Limited,a.n.r lighting pvt. ltd.,anrlighting
4,A.O. Smith India Water Products Private Limited,A O Smith India Water Products Private Limited,A.O.Smith India Water Products Pvt Ltd,aosmith
5,A.O. Smith India Water Products Private Limited,A O Smith India Water Products Private Limited,A.O.Smith India Water Products,aosip
6,AB Industries,AB Industries,AB Industries,mayuri
7,Abdos Consumer Care Limited,Abdos Consumer Care Limited,Abdos Consumer Care Limited,abdoscare
8,Abhishek Distributors Private Limited,Abhishek Distributors Private Limited,Abhishek Distributors Private Limited,rollickicecream
9,ABIS Exports (India) Private Limited (IB Group),Drools Pet Food Private Limited,...,drools
10,ABIS Exports (India) Private Limited (IB Group),Drools Pet Food Private Limited,...,drools
11,ABT Industries Limited (Dairy Division),ABT Industries Limited (Dairy Division),ABT INDUSTRIES LIMITED,abtfoods
12,ACE Beveragez Private Limited,ACE Beveragez Private Limited,ACE Beveragez Private Limited,acebeveragez
13,Adinath Agro Processed Foods Private Limited,Adinath Agro Processed Foods Private Limited,Adinath Agro Processed Foods Private Limited,adinathagro
14,Aditi Toys Private Limited,Aditi Toys Private Limited,ADITI TOYS PRIVATE LIMITED,aditi
15,Adjavis Venture Limited,Adjavis Venture Limited,Adjavis Venture Ltd.,adjavis
16,Adora Products Limited,Adora Products Limited,Adora Products Limited [Kenya],adoraproducts
17,Agrileaf Exports Private Limited,Agrileaf Exports Private Limited,Agrileaf Exports Private Limited,agrileaf
18,Agrow Distributors,AGROW DISTRIBUTORS,AGROW DISTRIBUTORS,agrow
19,Agrow Distributors,AGROW DISTRIBUTORS,AGROW DISTRIBUTORS,agrow
20,Akshayakalpa Farms And Foods Private Limited,Akshayakalpa Farms And Foods Private Limited,Akshayakalpa Farms & Foods Private Lmited,akshayakalpa
21,Al Saiee General Trading LLC- SP,Al Saiee General Trading LLC- SP,Al Saiee General Trading LLC- SP,alsaieegroup
22,Frigorifico Allana Private Limited,Frigorifico Allana Private Limited,Allana,allanadomesticpfd
23,Allana Consumer Products Private Limited,Allana Consumer Products Private Limited (Tiffany),Allana Consumer Products Private Limited,bowlerspet
24,Allana Consumer Products (Tiffany),Allana Consumer Products Private Limited (Tiffany),Allana Consumer Products,retail-bakery
25,Allana Consumer Products (Tiffany),Allana Consumer Products Private Limited (Tiffany),Allana Consumer Products,retail-bakery
26,Allana Consumer Products (Tiffany),Allana Consumer Products Private Limited (Tiffany),Allana Consumer Products,retail-bakery
27,Allied Natural Product,Allied Natural Product,Allied Natural Product,alliednatural
28,Amalgamated Breweries Private Limited,Amalgamated Breweries Private Limited,Amalgamated Breweries Private Limited,amalgamated
29,Ambitech Healthcare Private Limited,Ambitech Healthcare Private Limited,Ambitech Healthcare Private Limited,ambitech
30,Ample Foods Private Limited,Ample Foods Private Limited,Ample Foods Private Limited,amplepromoters
31,Ample Foods Private Limited,Ample Foods Private Limited,Ample Foods,amplefoodsprasuma
32,Ample Foods Private Limited,Ample Foods Private Limited,prasuma,prasuma
33,Amplifon (India) Private Limited,Amplifon (India) Private Limited,AMPLIFON (INDIA) PRIVATE LIMITED,amplifon
34,Amrut Sanjivani Sugarcane Private Limited,Amrut Sanjivani Sugarcane Private Limited,Amrut Sanjivani Sugarcane Pvt Ltd,amrutsanjivani
35,Amrutanjan Health Care Limited,Amrutanjan Health Care Limited,Amrutanjan Health Care Limited,amrutanjan
36,Ana Oils and Fats India Private Limited,Ana Oils and Fats India Private Limited,"ANA Oils & Fats India Private Limited,",ana-intl
37,Anand Sweets And Savouries LLP,Anand Sweets And Savouries LLP,Anand Sweets And Savouries LLP,chaknow
38,Ananda Dairy Limited,Ananda Dairy Limited,,
